keyword,priority,grupo_categoria,categoria,subcategoria,entity_name
MS2 SOLUCIONES,10,Gastos Variables,Compras,Tecnología y Electrónica,MS2 Soluciones Digitales
MUY MUCHO,10,Gastos Variables,Compras,Hogar y Decoración,Muy Mucho
MY SWEET,10,Gastos Variables,Ocio y Restauración,Cafeterías,My Sweet
MYSWEET,10,Gastos Variables,Ocio y Restauración,Cafeterías,My Sweet
NECO BUFFET,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Neco Buffet
NOVADELTA,10,Gastos Fijos,Alimentación,Café e Insumos,Cafés Delta
NUEVO MUNDO,10,Gastos Variables,Compras,Bazares y Multiprecio,Bazar Nuevo Mundo
NURIA AGUT,10,CAPEX,Obras e Inversión,Arquitectura,Nuria Agut
OH MY BOWL,10,Gastos Variables,Ocio y Restauración,Cafeterías,Oh My Bowl
OMOTON,10,Gastos Variables,Compras,Tecnología y Electrónica,Omoton
PABLO RODRIGUEZ,50,Movimientos Operativos,Transferencias,Traspasos Internos,
PAGO BIZUM A,30,Gastos Variables,Otros Gastos,Bizum Enviado,
PAGO BIZUM DE,30,Ingresos,Otros Ingresos,Bizum Recibido,
PAN Y CHOCOLATE,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Pan y Chocolate
PANCHO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Pancho's
PAPAS J.GARCIA,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Papas J.Garcia
PARKIMETER,10,Gastos Variables,Transporte,Parking y Peajes,Parkimeter
PARQUES DE SINTRA,10,Gastos Variables,Ocio y Restauración,Gastos en Destino,Parques De Sintra
PAVAPARK,10,Gastos Variables,Transporte,Parking y Peajes,Pavapark
PAYSAFE,10,Ahorro e Inversión,Inversión,Criptomonedas,Binance
PCCOMPONENTES,10,Gastos Variables,Compras,Tecnología y Electrónica,PcComponentes
PERK COMPENSATION,10,Ingresos,Ingresos Pasivos,Recompensas,Revolut
PETITA LLUM,10,Gastos Variables,Ocio y Restauración,Cafeterías,Cafetería Petita Llum
PINGšINS,10,Gastos Variables,Ocio y Restauración,Fast Food,Pingüins
PRIMA SEGURO,10,Gastos Fijos,Seguros,Vida/Hogar,Prima Seguros
PRIMOR,10,Gastos Variables,Salud y Cuidado,Cosmética e Higiene,Primor
PROMO I14,10,Ingresos,Ingresos Pasivos,Recompensas,Revolut
PROVISION FONDO,10,CAPEX,Trámites y Escrituras,Provisión de Fondos,Bankinter
PROZIS,10,Gastos Variables,Salud y Cuidado,Nutrición y Suplementos,Prozis
RAFAEL GALINDO,10,Gastos Variables,Ocio y Restauración,Cafeterías,Rafael Galindo
RALUY,10,Gastos Variables,Ocio y Restauración,Cultura y Espectáculos,Circo Raluy
RECARGA,20,Movimientos Operativos,Transferencias,Recarga Tarjeta,
RECIBO PLATINUM,10,Movimientos Operativos,Tarjetas,Liquidación Tarjeta,Bankinter
RECIBO VISA CLASICA,10,Movimientos Operativos,Tarjetas,Liquidación Tarjeta,Bankinter
RESID. ESTUD. SAN MAMES,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Residencia Estudiantes San Mames
RESTORE,10,CAPEX,Obras e Inversión,Constructura,Restore Edificaciones
RETRO LÁNGOS,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Retro Lángos
REVOLUT,10,Movimientos Operativos,Transferencias,Recarga Tarjeta,Revolut
REWARD,10,Ingresos,Ingresos Pasivos,Recompensas,Revolut
RIOT GAMES,10,Gastos Variables,Compras,Compras Online,Riot Games
ROAST MARKET,10,Gastos Variables,Compras,Menaje y Cocina,Roast Market
ROBERTS SMASH,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Roberts Smash
ROLL AND COOKIE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Roll And Cookie
RYANAIR,10,Gastos Variables,Viajes,Billetes (Avión/Tren),Ryanair
SABOR ZULIANO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Sabor Zuliano
SALDO A FAVOR,10,Ingresos,Otros Ingresos,Regularización,Bankinter
SALERA,10,Gastos Variables,Compras,Grandes Almacenes,CC Salera
SALT IN CAKE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Salt in Cake
SAMSUNG,10,Gastos Variables,Compras,Tecnología y Electrónica,Samsung
SANTA GLORIA,10,Gastos Variables,Ocio y Restauración,Cafeterías,Santa Gloria
SANTANDER CONSUMER,10,Gastos Variables,Compras,Bricolaje y Jardín,Bauhaus
SEGUROS DE VI,10,Gastos Fijos,Seguros,Vida/Hogar,Bankinter Seguros
SELLA,10,Gastos Variables,Ocio y Restauración,Cafeterías,Cafetería Sella
SHADES OF COFFEE,10,Gastos Variables,Compras,Menaje y Cocina,Shades of Coffee
SHARJEEL ALIMENTACION,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Sharjeel Alimentacion
SHOKAI,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Shokai Sushi
SINGULARU,10,Gastos Variables,Compras,Ropa y Accesorios,Singularu
SIROPE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Sirope
SITVAL ITV,10,Gastos Variables,Transporte,Trámites Vehiculo,Sitval ITV
SPAR,10,Gastos Fijos,Alimentación,Supermercado,Spar
SPOTIFY,10,Gastos Fijos,Suscripciones,Streaming,Spotify
SPRINGFIELD,10,Gastos Variables,Compras,Ropa y Accesorios,Springfield
SWEETS AND COFFE,10,Gastos Variables,Ocio y Restauración,Cafeterías,Sweets And Coffe
TEATRO OLYMPIA,10,Gastos Variables,Ocio y Restauración,Cultura y Espectáculos,Teatro Olympia
TECNO-OFICINAS,10,Gastos Variables,Compras,Hogar y Decoración,Tecno-Oficinas
TELPARK,10,Gastos Variables,Transporte,Parking y Peajes,Telpark
TERRETA DOLCA,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Terreta Dolça
TODOJUGUETE,10,Gastos Variables,Compras,Juguetes y Juegos,Todojuguete
TOURNE,10,Gastos Variables,Ocio y Restauración,Actividades,Tourne
TRADINGVIEW,10,Gastos Fijos,Suscripciones,Software y Apps,TradingView
TREKKINN,10,Gastos Variables,Compras,Deportes,Trekkinn
TUC TUC LAB,10,Gastos Variables,Otros Gastos,,Tuc Tuc Lab
UDACO,10,Gastos Fijos,Alimentación,Supermercado,Supermercado Udaco
UDEMY,10,Gastos Variables,Formación,Cursos Online,Udemy
VENTA GUADALEST,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Venta Guadalest
VERIFICACIONES Y CERTIF,10,CAPEX,Trámites y Escrituras,Tasación,Verificaciones y Certificaciones
VETERINARIA R GUALLART,10,Gastos Variables,Mascotas,Veterinaria,Veterinario
VIVES,10,Gastos Variables,Ocio y Restauración,Cafeterías,Vives 1908
WALLAPOP,10,Gastos Variables,Compras,Marketplace,Wallapop
ZIDOR,10,Gastos Variables,Ocio y Restauración,Cafeterías,"Zidor, Bilbao"
ZOOPLUS,10,Gastos Variables,Mascotas,Alimentación y Accesorios,Zooplus
ZURICH,10,Gastos Fijos,Seguros,Vehículo,Zurich Seguros
ãAM RESTAURANTES,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Ñam Restaurantes - Bilbao Intermodal
CORP ALIM GUISSONA,10,Gastos Fijos,Alimentación,Supermercado,Bon Àrea
T 292,10,Gastos Fijos,Alimentación,Supermercado,Bon Àrea
BKK,10,Gastos Variables,Transporte,Transporte Público,Centro de transporte de Budapest
BALANCE MIGRATION,10,Movimientos Operativos,Gastos Financieros,Comisiones Bancarias,Cambio Divisa y Redes
CARNICAS JUGOSA,10,Gastos Fijos,Alimentación,Mercado/Tienda local,Carnicas Jugosa
FARMACIASDIRECT,10,Gastos Fijos,Salud y Cuidado,Farmacia,Farmacias Direct
SZIMPLA KERT,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Ruin Bar Budapest
PARASZTKONYHA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Restaurante húngaro
SOUVENIRS,10,Gastos Variables,Compras,Regalos a terceros,Karácsonybolt
ANTONIA ALEJANDRA,10,Gastos Variables,Compras,Regalos a terceros,Tienda El Rocio
O-BI OINETAKOAK,10,Gastos Variables,Compras,Ropa y Accesorios,Zapatos Obi
NAGY VÁSÁRCSARNOK,10,Gastos Variables,Compras,Regalos a terceros,Mercado Central Budapest
ESPACIOOPEN,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Bilbao Old Cookie Factory
